,type,area,bed,bath,toilet,price
116,flat / apartment,Ikoyi,3 ,3 ,4 ,7000000
117,detached duplex,Ikoyi,5 ,5 ,5 ,20000000
118,flat / apartment,Ikoyi,4 ,4 ,5 ,18000000
119,flat / apartment,Ikoyi,4 ,4 ,5 ,8000000
120,flat / apartment,Victoria Island,3 ,3 ,4 ,7000000
121,terraced duplex,Ikoyi,4 ,4 ,4 ,200000000
122,flat / apartment,Ikoyi,4 ,4 ,4 ,7500000
123,terraced duplex,Lagos Mainland,3 ,3 ,4 ,1500000
124,flat / apartment,Abule,2 ,3 ,3 ,500000
125,flat / apartment,Victoria Island,3 ,3 ,3 ,10000000
126,flat / apartment,Akoka,1 ,1 ,1 ,600000
127,flat / apartment,Victoria Island,1 ,1 ,2 ,4000000
128,flat / apartment,Victoria Island,3 ,3 ,3 ,15000000
129,flat / apartment,Ikoyi,3 ,3 ,3 ,9000000
130,terraced duplex,Ikoyi,4 ,4 ,5 ,9000000
131,flat / apartment,Ikoyi,4 ,4 ,4 ,8000000
132,flat / apartment,Ikoyi,4 ,4 ,4 ,8000000
133,semi detached duplex,Ikoyi,4 ,4 ,4 ,15000000
134,flat / apartment,Lekki,3 ,3 ,4 ,4000000
135,flat / apartment,Victoria Island,4 ,4 ,5 ,18000000
136,flat / apartment,Ikoyi,4 ,4 ,4 ,4000000
137,flat / apartment,Ikoyi,2 ,2 ,3 ,14000000
138,flat / apartment,Ikoyi,4 ,4 ,4 ,12000000
139,flat / apartment,Victoria Island,5 ,5 ,5 ,25000000
140,flat / apartment,Victoria Island,3 ,3 ,3 ,12000000
141,terraced duplex,Ikoyi,5 ,5 ,6 ,15000000
142,detached duplex,Ikoyi,4 ,4 ,4 ,7000000
143,flat / apartment,Ikoyi,3 ,3 ,4 ,7500000
144,detached duplex,Lekki,5 ,5 ,6 ,4000000
145,detached duplex,Victoria Island,4 ,4 ,5 ,20000000
146,flat / apartment,Ikoyi,3 ,3 ,3 ,7500000
147,flat / apartment,Victoria Island,4 ,4 ,4 ,36000000
148,flat / apartment,Ikoyi,3 ,3 ,4 ,7000000
149,flat / apartment,Ikoyi,3 ,3 ,4 ,8000000
150,flat / apartment,Victoria Island,3 ,3 ,3 ,18000000
151,flat / apartment,Ikoyi,2 ,2 ,3 ,7000000
152,flat / apartment,Victoria Island,4 ,4 ,4 ,24000000
153,flat / apartment,Ikoyi,3 ,3 ,4 ,7000000
154,semi detached duplex,Ikoyi,5 ,5 ,5 ,8000000
155,flat / apartment,Lagos Mainland,3 ,3 ,4 ,1200000
156,flat / apartment,Lekki,3 ,3 ,3 ,2500000
157,detached duplex,Victoria Island,5 ,5 ,5 ,20000000
158,detached duplex,Victoria Island,4 ,4 ,4 ,15000000
159,flat / apartment,Ikoyi,2 ,2 ,2 ,7500000
160,semi detached duplex,Victoria Island,4 ,4 ,4 ,15000000
161,terraced duplex,Ikoyi,4 ,4 ,5 ,16000000
162,terraced duplex,Ikoyi,4 ,4 ,4 ,10000000
163,flat / apartment,Victoria Island,2 ,2 ,2 ,7000000
164,flat / apartment,Victoria Island,2 ,2 ,2 ,6000000
165,flat / apartment,Victoria Island,3 ,3 ,3 ,18000000
166,flat / apartment,Ikoyi,3 ,3 ,4 ,6000000
167,flat / apartment,Lagos Mainland,3 ,3 ,4 ,1500000
168,semi detached duplex,Lekki,4 ,4 ,4 ,4000000
169,flat / apartment,Anthony Village,3 ,3 ,4 ,1800000
170,flat / apartment,Maryland,2 ,2 ,3 ,1000000
171,flat / apartment,Maryland,2 ,2 ,3 ,1000000
172,flat / apartment,Lawanson,1 ,1 ,1 ,600000
173,flat / apartment,Lekki,2 ,3 ,3 ,2300000
174,flat / apartment,Lekki,2 ,2 ,2 ,1600000
175,flat / apartment,Gbagada,3 ,3 ,4 ,1300000
176,flat / apartment,Surulere,2 ,2 ,2 ,1200000
177,terraced duplex,Surulere,3 ,2 ,3 ,2500000
178,flat / apartment,Surulere,3 ,3 ,4 ,2500000
179,flat / apartment,Victoria Island,4 ,4 ,5 ,10000000
180,flat / apartment,Surulere,3 ,3 ,3 ,2000000
181,flat / apartment,Lekki,3 ,2 ,4 ,3500000
182,flat / apartment,Ojo,2 ,2 ,3 ,900000
183,flat / apartment,Ikorodu,1 ,1 ,1 ,150000
184,flat / apartment,Lekki,2 ,2 ,3 ,2000000
185,flat / apartment,Alimosho,1 ,2 ,2 ,220000
186,flat / apartment,Lekki,2 ,2 ,3 ,2500000
187,flat / apartment,Lawanson,2 ,2 ,2 ,750000
188,flat / apartment,Lekki,1 ,1 ,1 ,600000
189,flat / apartment,Lekki,1 ,1 ,1 ,350000
190,flat / apartment,Lekki,3 ,3 ,4 ,3500000
191,terraced duplex,Lekki,4 ,4 ,5 ,3000000
192,semi detached duplex,Lekki,5 ,4 ,5 ,15000000
193,flat / apartment,Lekki,3 ,3 ,3 ,3500000
194,flat / apartment,Lekki,1 ,1 ,1 ,600000
195,flat / apartment,Ogba,1 ,1 ,1 ,120000
196,flat / apartment,Agege,2 ,3 ,3 ,700000
197,flat / apartment,Ikorodu,1 ,1 ,1 ,160000
198,detached duplex,Kosofe,5 ,6 ,6 ,5000000
199,flat / apartment,Lekki,3 ,3 ,4 ,3500000
200,flat / apartment,Kosofe,3 ,3 ,4 ,2500000
201,flat / apartment,Ogba,3 ,3 ,4 ,650000
202,flat / apartment,Ogba,1 ,1 ,1 ,280000
203,detached duplex,Lekki,4 ,4 ,5 ,8000000
204,flat / apartment,Ajah,1 ,1 ,1 ,250000
205,flat / apartment,Ikeja,1 ,1 ,2 ,500000
206,flat / apartment,Yaba,1 ,2 ,2 ,600000
207,flat / apartment,Lekki,1 ,1 ,1 ,1200000
208,flat / apartment,Lekki,1 ,1 ,1 ,600000
209,flat / apartment,Gbagada,2 ,2 ,3 ,1000000
210,flat / apartment,Lekki,1 ,1 ,1 ,1200000
211,flat / apartment,Ikorodu,1 ,1 ,1 ,130000
212,flat / apartment,Surulere,2 ,1 ,1 ,550000
213,flat / apartment,Lawanson,1 ,2 ,2 ,550000
214,flat / apartment,Surulere,2 ,2 ,2 ,1000000
215,detached duplex,Lekki,5 ,5 ,6 ,6500000
216,flat / apartment,Oniru,3 ,3 ,4 ,4000000
217,flat / apartment,Lawanson,1 ,1 ,1 ,450000
218,semi detached duplex,Lekki,4 ,4 ,5 ,2500000
219,flat / apartment,Ikoyi,1 ,2 ,2 ,2000000
220,flat / apartment,Ajah,1 ,1 ,1 ,500000
221,terraced duplex,Ikoyi,4 ,4 ,5 ,15000000
222,flat / apartment,Yaba,3 ,3 ,4 ,1500000
223,flat / apartment,Ajah,1 ,1 ,1 ,350000
224,flat / apartment,Ikoyi,3 ,3 ,4 ,13000000
225,detached duplex,Lekki,5 ,7 ,7 ,6000000
226,flat / apartment,Ajah,2 ,3 ,3 ,800000
227,flat / apartment,Ogba,1 ,1 ,1 ,270000
228,flat / apartment,Lekki,2 ,2 ,2 ,2200000
229,detached duplex,Oniru,4 ,5 ,5 ,5500000
230,flat / apartment,Yaba,3 ,3 ,4 ,2500000
231,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
232,flat / apartment,Oniru,3 ,3 ,4 ,4500000
233,semi detached duplex,Lekki,3 ,3 ,4 ,4000000
234,flat / apartment,Ajah,2 ,2 ,3 ,1200000
235,detached duplex,Lekki,4 ,4 ,5 ,3000000
236,flat / apartment,Ogba,3 ,3 ,4 ,1000000
237,flat / apartment,Victoria Island,4 ,4 ,5 ,10000000
238,flat / apartment,Ogba,1 ,1 ,1 ,250000
239,flat / apartment,Lekki,1 ,1 ,1 ,650000
240,flat / apartment,Surulere,2 ,2 ,2 ,900000
241,flat / apartment,Surulere,2 ,2 ,3 ,1000000
242,flat / apartment,Surulere,2 ,2 ,2 ,900000
243,flat / apartment,Ogudu,3 ,3 ,4 ,1800000
244,flat / apartment,Maryland,1 ,1 ,1 ,1000000
245,flat / apartment,Ikeja,1 ,1 ,1 ,1000000
246,flat / apartment,Ogba,2 ,2 ,3 ,700000
247,flat / apartment,Ajah,3 ,3 ,4 ,850000
248,flat / apartment,Gbagada,3 ,3 ,4 ,1600000
249,flat / apartment,Gbagada,2 ,2 ,3 ,1300000
250,detached bungalow,Gbagada,3 ,3 ,2 ,1000000
251,flat / apartment,Maryland,2 ,2 ,3 ,650000
252,flat / apartment,Surulere,4 ,4 ,5 ,1600000
253,flat / apartment,Ajah,1 ,1 ,1 ,375000
254,flat / apartment,Ojo,2 ,1 ,2 ,650000
255,flat / apartment,Oniru,3 ,3 ,4 ,4000000
256,detached duplex,Lekki,4 ,4 ,5 ,4500000
